Proteins,ECC,GO,Subcell
YHR140W,14.20182112,2551,2639.5
YPL076W,13.98108148,631.5833333,1805
YMR215W,11.40635938,458.75,1802.5
YDL015C,10.08619665,380.0833333,1413
YJL196C,8.976119653,272.2166667,1206.5
YDR394W,11.30869559,836.0988095,104
YLR372W,8.769230769,385.2507576,786.5
YCR034W,7.3125,301.797114,719.5
YBR159W,6.673267327,375.4035714,747.5
YGL200C,6.519970714,250.0333333,658.75
YGR060W,9.953013166,409.2166667,0
YDR331W,8.580419355,473.5,0
YML048W,7.553697469,536.1666667,0
YBR183W,7.12234371,271.1666667,548.5
YDL029W,6.987584316,552.2459235,0
YJL117W,10.01623642,358.2,0
YMR205C,6.448498653,497.0561328,2
YNL101W,4.752752842,199.3571429,664.5
YGL137W,5.044621954,609.3845238,15.61111111
YGR104C,6.523593462,73.51309524,466
YBR118W,2.983979046,1018.333333,0
YHR200W,9.855712831,262.8166667,0
YOL135C,5.448261864,99.6,472
YKL065C,8.256538856,299.7166667,272.5
YJR045C,4.222381865,578.3759009,0
YDL147W,8.477748596,278,0
YOR016C,5.553674356,217.6666667,383
YJR117W,4.513002898,161.5166667,462.5
YBR110W,7.658454062,268.9666667,0
YFR052W,9.665822613,208.3,0
YCL025C,4.649086878,190.5833333,426.5
YKL145W,10.64576441,183.3256133,0
YMR049C,6.362682731,289.7309524,166
YBR036C,7.837426621,234.9800866,0
YER012W,7.908833405,228.0619048,42.25
YGR232W,9.874566951,182.4166667,0
YOR261C,7.284850319,245.3333333,0
YGR284C,5.358451756,175.5833333,318
YDR388W,4.079917588,414.6626516,0
YDL097C,10.46745481,157.418254,0
YDR297W,7.394259239,219.5904762,0
YNL061W,6.904497645,233.0238095,144.5
YER133W,4.72776079,338.0076122,0
YKR081C,8.673726522,179.3422078,0
YBR106W,5.771428571,264.5380952,0
YGL004C,7.336978352,207.3333333,0
YBR253W,6.073047898,164.25,250
YIL035C,4.997721397,299.8757937,0
YCL018W,3.779237023,391.470962,0
YFR028C,5.006115006,294.847728,0
YEL063C,6.780057917,216.55,0
YHL048W,6.127039011,223.8212121,0
YML085C,2.780400327,488.95,0
YJR010C-A,6.268296472,216.1333333,130.25
YPL264C,7.721563101,167.9274892,0
YGL048C,6.239225483,199.7955322,0
YHR027C,8.055867102,151.2647695,0
YFR004W,9.05498968,134.0113095,0
YBR020W,3.271901027,365.6666667,0
YFL039C,3.513497984,336.9833485,0
YIL016W,6.021935689,190.4380952,0
YER021W,5.732785493,197.3333333,0
YBR290W,6.807085522,160.9400433,0
YGR103W,6.539324288,165.8845238,60
YLR259C,2.479387607,429.167957,0
YML064C,2.59304037,405.5912698,0
YJL138C,2.721746052,378.6666667,0
YMR109W,5.358087282,191.937987,0
YNL110C,6.230608714,162,0
YLR115W,8.290340309,121.5,44
YOL133W,3.052505975,329.7015873,0
YHR030C,4.133545916,243.1609034,0
YDL229W,1.446310083,690,0
YHR133C,5.384125129,182.2333333,157
YGR091W,4.850757494,200.5,22
YGR260W,4.133271016,229.5,0
YBR283C,2.503661326,130.25,375
YPR110C,3.322693186,280.4797619,0
YPR016C,6.546172014,136.3467893,86
YBL093C,3.894306981,43.93571429,226
YKL154W,4.897496613,175.6333333,0
YDL212W,5.01548321,167.7,0
YJL008C,2.116644637,395.3333333,0
YLL028W,4.810094694,170.7666667,0
