Proteins,ECC,GO,SubCell
YOL041C,45.54961651,2386.083333,5512.5
YMR049C,43.4630941,1327.269048,5299
YLR197W,40.23615835,2332.166667,5036
YPL093W,39.02161118,1187.970238,5016
YHR197W,42.09581837,875.547619,4560.5
YLR002C,41.85308956,933.9309524,4479
YGR103W,39.69542803,1079.207143,4714.5
YMR290C,43.37019275,947.4704545,4156.5
YER126C,40.46474999,1328.333333,3912.5
YCL054W,37.40487225,787.6047619,4094.5
YNR053C,38.32139955,2808,3912.5
YNL061W,38.34594651,897.0238095,3574
YFL002C,33.92193508,666.4674603,3686.5
YOR206W,47.68154829,2252.083333,0
YLR409C,39.26634348,2528,0
YOL077C,50.81295956,1900.590476,0
YPL211W,27.30743778,659.0380952,3180
YHR170W,40.39883599,1146.566667,1926.25
YDR087C,41.00427335,1669,0
YGL111W,39.33664257,1704.666667,0
YPL012W,49.30882353,1327.630675,0
YJL109C,47.73529412,1351.525247,0
YPR016C,35.29085349,742.0928211,1759.25
YDR394W,28.92881918,410.8940476,2070
YNL110C,40.97412753,1392.25,0
YER127W,37.10357891,1495.333333,0
YMR309C,24.40899749,698.352381,2264
YDR101C,41.00171382,1337.366667,0
YBR142W,36.01636784,1519.333333,0
YHR052W,44.39773956,1177.095238,0
YOR361C,30.20426968,1562.333333,0
YCL059C,35.56755829,910.5166667,1318
YNL132W,47.58679265,953.3265901,0
YLL008W,41.26394103,1094.683333,0
YLR276C,42.43188022,1041.111905,0
YGR090W,41.94445121,993.1868354,0
YBR267W,40.59915839,1014.35,0
YHR088W,41.28882115,995.6833333,0
YDR496C,38.77629892,1050.994048,0
YLL034C,37.98730696,1045.683333,0
YDL060W,38.15133317,1034,732
YNL002C,44.37209998,860.8272755,0
YBL004W,41.10100107,897.6972083,0
YPL126W,38.71022938,929.9666667,0
YKL014C,43.25094845,794.3869242,0
YLR009W,37.64977961,908.4333333,0
YDR324C,37.78951386,901.2,0
YPR137W,40.05892511,848.0166667,0
YHR085W,40.30925454,835.647619,0
YHR196W,39.40863448,845.9333333,0
YKR081C,42.51599114,735.4036269,0
YMR093W,34.28490836,781.6,898
YNL075W,38.75868125,791.5928571,0
YOR145C,38.21765582,791.6,466
YPL043W,40.69884389,689.097089,0
YNL182C,41.87208561,650.8821262,0
YGL099W,37.72627571,693.865368,0
YDL014W,31.8831475,817.2892857,0
YJL033W,34.63520106,616.4964286,738
YLR333C,53.01720448,474.5,0
YER012W,30.71152599,451.4380952,798.25
YER006W,38.89259507,627.3984904,0
YGL120C,28.36078799,859.85,0
YPL217C,38.51090476,630.2335914,0
YOR341W,36.45859743,652.009818,0
YLR106C,35.14843997,672.2797536,0
YKL172W,38.22388149,609.5318765,0
YLR186W,38.02182851,609.5309385,0
YER021W,29.93407001,761.3333333,0
YFR001W,35.48381048,636.2133283,0
YBL092W,76.67334537,292,0
YGL171W,35.66892079,623.9178571,0
YDR449C,31.30362551,692.4452381,0
YLR175W,34.3469322,623.385298,0
YOR261C,28.87368545,741.1666667,0
YGR145W,37.9554381,556.8426684,0
YGR091W,25.87425253,808,236
YHR169W,34.83466581,599.1547619,0
YDL213C,35.26563203,590.6670996,0
YBL074C,24.7635221,821.5,0
YDL031W,38.02299696,531.2576646,0
YLR222C,37.5083179,503.3669386,0
YDR473C,23.37598452,783.5,0
YGR128C,38.46379786,453.3491564,0
YFR050C,28.28374602,416.1166667,612.25
YGR085C,76.74415698,225.4166667,0
YGR081C,30.292388,567.3,318
YLR074C,26.32286247,650.997619,0
YBR055C,26.84170817,638.3333333,0
YOR157C,27.95337057,407.8333333,612
YBL041W,29.47171485,473,578
YOL039W,77.39887985,219.9166667,0
YER094C,29.3035086,406.8,578
YDR299W,23.74882548,712,0
YHR203C,52.41525551,317.1666667,0
YOR362C,27.92616772,395.952381,595
YJL190C,52.34629,317.1666667,0
YJL001W,28.60182541,446.2666667,578
YDR365C,38.68858436,424.9718226,0
YGR253C,28.22713697,385.9333333,578
YBL072C,50.08330587,322.5,0
YPL129W,9.032029636,1728,0
YDL147W,27.89578393,557,0
YPR103W,26.8112006,416.4,578
YER029C,22.12422824,693.8333333,0
YGR232W,27.7553584,529.8333333,0
YGL011C,29.22123431,496.4666667,0
YDR382W,68.48553131,209.7666667,0
YHR148W,28.92805322,491.3666667,0
YFR052W,26.32422287,532.9666667,0
YJR002W,34.13515169,409.798113,0
YGR075C,24.74830174,558.1666667,176
