Proteins,ECC,GO,SubCell
YDR394W,32.76155834,345.9404762,1800
YER012W,32.42050669,386.0142857,798.25
YLR333C,54.58898734,471.5,0
YNR010W,18.17342211,128.4178571,1342
YOR174W,18.17342211,145.3166667,1342
YBL092W,78.67745419,292,0
YOR261C,32.02698937,674.6666667,0
YER021W,32.02698937,663.3333333,0
YMR112C,16.87342211,227.6666667,1100
YHR058C,16.87342211,155.0666667,1100
YPR168W,16.87342211,139.6333333,1100
YOR157C,31.12257492,393.6,595
YER094C,32.02698937,379.9333333,578
YGR104C,16.77518979,126.9,1100
YNL236W,16.4441731,127.7928571,1122
YGR253C,31.83544802,383.7666667,578
YBR253W,16.70751302,192.4166667,1100
YJL001W,31.78413223,380.1,578
YBR193C,16.42633586,115.927381,1104
YOL135C,16.35524029,155.0666667,1100
YDR308C,16.29463423,136.3952381,1100
YBL093C,15.95405452,131.8238095,1122
YBL041W,30.96896863,436.4,578
YPR103W,30.00518461,389.3,578
YJL190C,54.58898734,317.1666667,0
YOL039W,78.67745419,219.9166667,0
YGR085C,78.67745419,219.9166667,0
YOR362C,29.85753856,359.9904762,578
YHR203C,52.94792347,317.1666667,0
YBL072C,52.08000997,317.1666667,0
YFR050C,28.40974529,357.9571429,578
YGR232W,32.02698937,506.9166667,0
YDL147W,31.29914724,506.9166667,0
YDL081C,78.67745419,177.5666667,0
YGL011C,32.02698937,433,0
YDR382W,77.88501592,177.5666667,0
YHR200W,32.02698937,425.8333333,0
YFR052W,32.02698937,425.6333333,0
YLR441C,54.58898734,244,0
YPL131W,78.96797286,165.7333333,0
YLR340W,78.96797286,165.7333333,0
YDL061C,54.58898734,230,0
YML092C,31.78413223,380.1,0
YMR314W,31.78413223,380.1,0
YDR427W,30.67368704,389.05,0
YBR173C,31.78413223,367.5,0
YPL129W,12.62222222,917,0
YOR117W,31.22829774,368.9809524,0
YDL020C,31.8382258,350.2666667,0
YJR123W,54.58898734,202.15,0
YOR167C,54.58898734,201.95,0
YHL015W,54.58898734,201.9,0
YLR264W,47.23529412,223.15,0
YOL038W,31.78413223,331.2404762,0
YGL189C,54.58898734,190.35,0
YOL127W,77.01675334,123.8,0
YIL075C,31.32857538,286.7517857,0
YGR135W,32.04744263,278.4095238,0
YDR069C,32.02698937,272.252381,0
YPR108W,31.88907803,273.35,0
YGR270W,32.02698937,270.85,0
YDL007W,32.02698937,270.85,0
YHR027C,29.74542852,291.2904762,0
YDL097C,31.78413223,270.85,0
YFR004W,30.8668215,274.7893939,0
YKL145W,28.18604651,291.132695,0
YOR259C,29.80579437,275.0402778,0
YGL048C,29.54917214,276.2924603,0
YLR167W,54.58898734,145.8833333,0
YNL178W,54.58898734,103.7722222,0
YNL252C,30,107.5,80
YKR085C,30,107.5,0
YMR193W,30,107.5,0
YKR006C,30,107.5,80
YGR076C,30,107.5,0
YBR282W,30,107.5,80
YMR116C,54.87895795,54.32777778,0
YLR367W,54.58898734,54.32777778,0
YDR064W,54.58898734,54.32777778,0
YPR132W,54.58898734,54.32777778,0
YDR025W,54.58898734,54.32777778,0
YER074W,54.58898734,54.32777778,0
YPL081W,54.58898734,54.32777778,0
YOL040C,54.58898734,54.32777778,0
YJR145C,54.58898734,54.32777778,0
YLR287CA,54.58898734,54.32777778,0
YMR230W,54.58898734,54.32777778,0
YKL156W,54.58898734,54.32777778,0
YNL302C,54.58898734,54.32777778,0
YNL096C,54.58898734,54.32777778,0
YOL121C,54.58898734,54.32777778,0
YDR450W,54.58898734,54.32777778,0
YOR182C,54.58898734,54.32777778,0
YLR388W,54.58898734,54.32777778,0
YIL069C,54.58898734,54.32777778,0
YLR048W,54.58898734,54.32777778,0
YHR021C,54.58898734,54.32777778,0
YOR369C,54.58898734,54.32777778,0
YBR181C,54.58898734,54.32777778,0
YGR027C,54.58898734,54.32777778,0
YCR031C,54.58898734,54.32777778,0
YJL191W,54.58898734,54.32777778,0
YBR189W,54.58898734,54.32777778,0
YGL123W,54.58898734,54.32777778,0
YML024W,54.58898734,54.32777778,0
YER102W,54.58898734,54.32777778,0
YOR293W,54.58898734,54.32777778,0
YMR143W,54.58898734,54.32777778,0
YML026C,54.58898734,54.32777778,0
YDL083C,54.58898734,54.32777778,0
YML063W,54.58898734,54.32777778,0
YDR447C,54.58898734,54.32777778,0
YKR057W,54.58898734,54.32777778,0
YJL136C,54.58898734,54.32777778,0
YPL090C,53.83146854,54.32777778,0
YER131W,53.83146854,54.32777778,0
YGR118W,53.79638082,54.32777778,0
YGR214W,53.79638082,54.32777778,0
YOR096W,53.79638082,54.32777778,0
YBR048W,52.94792347,54.32777778,0
YPR162C,16.5545831,173.7142857,80
YNL005C,30,78.66666667,80
YKL138C,30,78.66666667,80
YKL167C,30,78.66666667,80
YJL063C,30,78.66666667,0
YDR237W,30,78.66666667,0
YKL170W,30,78.66666667,0
YDR405W,30,78.66666667,0
YBR122C,30,78.66666667,0
YGR220C,30,78.66666667,0
YNL284C,30,78.66666667,0
YJR042W,4.756283511,39.17857143,461.5833333
YDL005C,16.87342211,124.5380952,0
YKL080W,12.15776144,172.5,0
YHR147C,30,69.83333333,0
YBL038W,30,69.83333333,0
YGL025C,16.87342211,121.9924603,0
YHR041C,16.32634921,124.9309524,0
YGR020C,11.7244281,173,0
YOR332W,12.01470588,157,0
YDL192W,7.391223156,251,0
YER022W,16.10079365,114.5531746,0
YLR071C,16.87342211,107.6686508,0
YGL151W,16.87342211,107.6686508,0
YBR060C,16.03293808,113.2012987,80
YJR006W,14.95615447,121.2857143,80
YCR003W,30,60.25,0
YOR150W,30,60.25,0
YOL051W,15.76746032,114.0269841,0
YOR224C,14.01295384,121.6666667,0
YML065W,14.91666667,113.412987,80
YEL051W,10.92222222,154.3333333,0
YBR154C,13.96674877,110.1539683,26
YLR312WA,30,50.83333333,0
YPL173W,30,50.83333333,0
YMR286W,30,50.83333333,0
YLR439W,30,50.83333333,0
YBR268W,30,50.83333333,0
YNL185C,30,50.83333333,0
YDL202W,30,50.83333333,0
YDR322W,30,50.83333333,0
YMR024W,30,50.83333333,0
YJL096W,30,50.83333333,0
YDR462W,30,50.83333333,0
YMR225C,30,50.83333333,0
YER117W,78.96797286,19.06666667,0
YLR061W,78.67745419,19.06666667,0
YJL189W,78.67745419,19.06666667,0
YBR084CA,78.67745419,19.06666667,0
YGR148C,78.67745419,19.06666667,0
YNL067W,78.67745419,19.06666667,0
YLR029C,78.67745419,19.06666667,0
YMR121C,78.67745419,19.06666667,0
YMR194W,78.67745419,19.06666667,0
YML073C,78.67745419,19.06666667,0
YIL018W,78.67745419,19.06666667,0
YNL301C,78.67745419,19.06666667,0
YHR141C,78.67745419,19.06666667,0
YHL033C,78.67745419,19.06666667,0
YLR406C,78.67745419,19.06666667,0
YGL147C,78.67745419,19.06666667,0
YDL184C,78.67745419,19.06666667,0
YKR094C,78.67745419,19.06666667,0
YLL045C,78.67745419,19.06666667,0
YOL120C,78.67745419,19.06666667,0
YDL082W,78.67745419,19.06666667,0
YPL079W,78.67745419,19.06666667,0
YPL143W,78.67745419,19.06666667,0
YBR031W,78.67745419,19.06666667,0
YJL177W,78.67745419,19.06666667,0
YFL034CA,78.67745419,19.06666667,0
YFR031CA,78.67745419,19.06666667,0
YLR325C,78.67745419,19.06666667,0
YDR418W,78.67745419,19.06666667,0
YBL027W,78.67745419,19.06666667,0
YLR344W,78.67745419,19.06666667,0
YOR312C,78.67745419,19.06666667,0
YPR043W,78.67745419,19.06666667,0
YDL133CA,78.67745419,19.06666667,0
YDL130W,78.67745419,19.06666667,0
YDR500C,78.67745419,19.06666667,0
YDR471W,78.67745419,19.06666667,0
YGL030W,78.67745419,19.06666667,0
YGL031C,78.67745419,19.06666667,0
YDL136W,78.67745419,19.06666667,0
YGL103W,78.67745419,19.06666667,0
YDL191W,78.67745419,19.06666667,0
YGL076C,78.67745419,19.06666667,0
YKL006W,78.67745419,19.06666667,0
YJR094WA,78.67745419,19.06666667,0
YBR191W,78.67745419,19.06666667,0
YPL198W,78.67745419,19.06666667,0
YNL069C,78.67745419,19.06666667,0
YIL133C,78.67745419,19.06666667,0
YNL162W,78.67745419,19.06666667,0
YPL220W,78.67745419,19.06666667,0
YLR448W,78.67745419,19.06666667,0
YIL148W,78.67745419,19.06666667,0
YHL001W,78.67745419,19.06666667,0
YER056CA,78.67745419,19.06666667,0
YMR242C,78.67745419,19.06666667,0
YFR032CA,78.67745419,19.06666667,0
YDR012W,78.67745419,19.06666667,0
YIL052C,78.67745419,19.06666667,0
YHR010W,78.67745419,19.06666667,0
YKL180W,78.67745419,19.06666667,0
YLR185W,78.67745419,19.06666667,0
YOR234C,78.67745419,19.06666667,0
YBL087C,77.88501592,19.06666667,0
YMR142C,77.88501592,19.06666667,0
YGL135W,77.88501592,19.06666667,0
YDL075W,77.88501592,19.06666667,0
YGR034W,77.88501592,19.06666667,0
YEL054C,77.88501592,19.06666667,0
YLR075W,77.88501592,19.06666667,0
YOR063W,77.04057637,19.06666667,0
