Proteins,ECC,CC,GO,SubCell
YFR006W,0.130735116,0.311942959,0.030448718,0
YHL004W,0.016958228,0,0,0
YPL192C,0,0,0,0
YBR295W,0.132225264,1,0.012784476,0
YLR382C,0,0,0,0
YPL014W,0.99061323,1,0.006790123,0
YLR061W,0,0,0,0
YOR070C,0,0,0,0
YER175C,0,0,0,0
YGL194C,0.010170808,0.19047619,0.000730057,0
YHR084W,0,0,0,0
YDR340W,0,0,0,0
YBR158W,0,0,0,0
YFL054C,0,0,0,0
YLR350W,0,0,0,0
YOR331C,0.008479114,0,0,0
YPL170W,0,0,0,0
YDL046W,0,0,0,0
YER181C,0,0,0,0
YLR322W,0,0,0,0
YKL221W,0.054395623,0.583333333,0.003175451,0
YPR055W,0,0,0,0
YAL055W,0,0,0,0
YDL131W,0,0,0,0
YGL065C,0.139226526,0.758064516,0.07375455,0
YDR060W,0.055272079,0.857142857,0.006273751,0
YCR002C,0.012718671,0,0,0
YGR262C,0,0,0,0
YHR057C,0.016958228,0.266666667,0.001377018,0
YHR019C,0,0,0,0
YOR385W,0.018699215,0.692307692,0.012327307,0
YCR072C,0.027687357,0.156862745,0.009072717,0
YOR110W,0.05341842,0.583333333,0.001424501,0
YJR064W,0,0,0,0
YGR065C,0,0,0,0
YGL244W,0,0,0,0
YNL008C,0,0,0,0
YLL012W,0,0,0,0
YNR041C,0.003213138,1,0.002196106,0
YDR430C,0,0,0,0
YKR096W,0.012718671,0,0.000777001,0
YPL091W,0.013354605,0.138888889,0.001210826,0
YNR017W,0,0,0,0
YMR265C,0,0,0,0
YDL115C,0,0,0,0
YPL258C,0,0,0,0
YLR414C,0.008479114,0,0.002136752,0
YDR051C,0,0,0,0
YHR044C,0,0,0,0
YIR003W,0,0,0,0
YDL137W,0.081841709,0.487179487,0.01173002,0
YIL143C,0.013326846,0.5,0.002535273,0
YMR042W,0,0,0,0
YFR046C,0.01816953,0,0.004748338,0
YGR024C,0.025502645,0.191176471,0.006584477,0.001451247
YLR335W,0,0,0,0
YLR299W,0.01816953,0,0,0
YOR191W,0,0,0,0
YGL166W,0.002929149,1,0.002611586,0
YLR224W,0.001059889,0.1,0,0
YGL104C,0.341390864,0.68989547,0.227326686,0
YBR055C,0,0,0,0
YGL197W,0.003709612,0.066666667,0.000178063,0
YDR285W,0,0,0,0
YBR169C,0.019917783,0.179487179,0.009180732,0
YNL298W,0.533477689,0.389324437,0.353699015,0
YGR090W,0.000798034,0.1,0.000457875,0
YPR159W,0.487709491,0.685314685,0.319452924,0.648344671
YNL061W,0,0,0,0
YPL221W,0,0,0,0
