Proteins,ECC,CC,GO,SubCell
YHL004W,0.014923764,0.133333333,0,0
YPL192C,0,0,0,0
YFR032C-A,0.18274897,0.108870968,0.040178996,0
YOR070C,0,0,0,0
YLR061W,0,0,0,0
YER175C,0,0,0,0
YLR350W,0.051517786,0.5,0.000663076,0
YHR084W,0,0,0,0
YDR340W,0,0,0,0
YBR158W,0,0,0,0
YFL054C,0.004307225,0.004761905,0.000952109,0
YJL062W,0,0,0,0
YOR331C,0,0,0,0
YPL170W,0,0,0,0
YDL046W,0,0,0,0
YER181C,0,0,0,0
YLR322W,0,0,0,0
YKL221W,0.038191553,0.3,0,0
YPR055W,0,0,0,0
YAL055W,0,0,0,0
YDL131W,0,0,0,0
YGL065C,0.14320153,0.464285714,0.004667809,0
YCR002C,0,0,0,0
YGR262C,0.000987725,0.166666667,0,0
YBR290W,0,0,0,0
YDR060W,0,0,0,0
YHR019C,0,0,0,0
YHR057C,0,0,0,0
YPL047W,0.003831221,0.333333333,0,0
YCR072C,0,0,0,0
YOR385W,0,0,0,0
YPL257W-A,0,0,0,0
YOR110W,0,0,0,0
YNR041C,0,0,0,0
YGR065C,0.058306062,0.228571429,0.007949306,0
YGL244W,0,0,0,0
YNL008C,0,0,0,0
YLL012W,0,0,0,0
YLR195C,0,0,0,0
YKR096W,0,0,0,0
YPL091W,0,0,0,0
YMR265C,0,0,0,0
YNR017W,0,0,0,0
YER014C-A,0,0,0,0
YPL258C,0,0,0,0
YLR414C,0,0,0,0
YLR299W,0.008294568,0.5,0.002142245,0
YIR003W,0.052454473,0.5,0.005998286,0
YDL137W,0,0,0,0
YIL143C,0,0,0,0
YMR042W,0,0,0,0
YFR046C,0,0,0,0
YGR024C,0.01088795,0.095238095,0.000867152,0
YLR335W,0,0,0,0
YOR191W,0,0,0,0
YGL166W,0.017735631,1,0.00209464,0
YLR224W,0,0,0,0
YGL104C,0,0,0,0
YBR055C,0,0,0,0
YGL197W,0,0,0,0
YDR285W,0,0,0,0
YBR169C,0.564879759,0.095238095,0.129763407,0
YNL298W,0.021947361,0.010695187,0.002495886,0.0125
YPR159W,0,0,0,0
YGR090W,0,0,0,0
YJR055W,0,0,0,0
YNL061W,0,0,0,0
YPL221W,0,0,0,0
YAL031C,0.110519768,0.093596059,0.018627898,0
YLR268W,0,0,0,0
YJR146W,0,0,0,0
YGR081C,0.03668424,0.138888889,0.001743843,0
YLR360W,0,0,0,0
YDR399W,0,0,0,0
YJL189W,0,0,0,0
YPR062W,0,0,0,0
YHR204W,0.045605909,0.133333333,0.001447206,0
YDR429C,0,0,0,0
YOL108C,0.008769284,1,0,0
YBR275C,0,0,0,0
YDR280W,0,0,0,0
YDR524C,0,0,0,0
YGL204C,0,0,0,0
